asset_name,asset_id,asset_type,asset_link,asset_parent_id,publication_date,asset parent id,Parent asset type,Asset Agency,Parent Agency,FoundationalorNot,Vparent,All_Asset,asset_cnt,Sparent
Nine Miles Falls Follow Up Results,8ygw-vn3m,file,https://data.wa.gov/Health/Nine-Miles-Falls-Follow-Up-Results/8ygw-vn3m,,10/09/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,968,0
Camas Prairie Elementary Update Results,gxpi-37we,file,https://data.wa.gov/Health/Camas-Prairie-Elementary-Update-Results/gxpi-37we,,10/19/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,969,0
Abraham Lincoln Elementary School Update Results,8mim-ms6f,file,https://data.wa.gov/Health/Abraham-Lincoln-Elementary-School-Update-Results/8mim-ms6f,,10/19/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,970,0
Naches Trail Elementary Update Results 2,w2hk-9xue,file,https://data.wa.gov/Health/Naches-Trail-Elementary-Update-Results-2/w2hk-9xue,,10/19/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,971,0
Star Lake Elementary,747b-hz2p,file,https://data.wa.gov/Health/Star-Lake-Elementary/747b-hz2p,,10/19/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,972,0
Evergreen School Update Results,ja5y-9748,file,https://data.wa.gov/Health/Evergreen-School-Update-Results/ja5y-9748,,10/19/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,973,0
Mark Twain Elementary,44nf-8y42,file,https://data.wa.gov/Health/Mark-Twain-Elementary/44nf-8y42,,10/19/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,974,0
Grant Elementary School Wenatchee,ce3u-thjh,file,https://data.wa.gov/Health/Grant-Elementary-School-Wenatchee/ce3u-thjh,,10/19/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,975,0
Hayes Freedom High School Update Results,nyuj-yf6n,file,https://data.wa.gov/Health/Hayes-Freedom-High-School-Update-Results/nyuj-yf6n,,10/19/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,976,0
Columbia Ridge Elementary,m76z-3hrh,file,https://data.wa.gov/Health/Columbia-Ridge-Elementary/m76z-3hrh,,10/19/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,977,0
Centennial Elementary School Graham,j2ci-83i7,file,https://data.wa.gov/Health/Centennial-Elementary-School-Graham/j2ci-83i7,,10/19/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,978,0
Grant Elementary School Ephrata,db62-tmsv,file,https://data.wa.gov/Health/Grant-Elementary-School-Ephrata/db62-tmsv,,10/19/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,979,0
Rocky Ridge Elementary,yu5d-iw3n,file,https://data.wa.gov/Health/Rocky-Ridge-Elementary/yu5d-iw3n,,10/19/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,980,0
Lea Hill Elementary,hncq-n7by,file,https://data.wa.gov/Health/Lea-Hill-Elementary/hncq-n7by,,10/19/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,981,0
Graham Elementary,g9uw-w5ps,file,https://data.wa.gov/Health/Graham-Elementary/g9uw-w5ps,,10/19/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,982,0
Washington Elementary Mount Vernon,stdm-mydn,file,https://data.wa.gov/Health/Washington-Elementary-Mount-Vernon/stdm-mydn,,10/19/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,983,0
Eastmont High School,7kjj-cgxk,file,https://data.wa.gov/Health/Eastmont-High-School/7kjj-cgxk,,10/19/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,984,0
Mc Donald Elementary School,inpk-wqpi,file,https://data.wa.gov/Health/Mc-Donald-Elementary-School/inpk-wqpi,,10/19/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,985,0
Evergreen Elementary Spanaway,agmm-mjtw,file,https://data.wa.gov/Health/Evergreen-Elementary-Spanaway/agmm-mjtw,,10/19/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,986,0
English Crossing Elementary,5r6a-vpuk,file,https://data.wa.gov/Health/English-Crossing-Elementary/5r6a-vpuk,,10/22/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,987,0
Everson Elementary,hfi4-8gfu,file,https://data.wa.gov/Health/Everson-Elementary/hfi4-8gfu,,10/22/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,988,0
Asotin Elementary School,xcmv-jijw,file,https://data.wa.gov/Health/Asotin-Elementary-School/xcmv-jijw,,10/22/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,989,0
Betz Elementary School,v38v-5m63,file,https://data.wa.gov/Health/Betz-Elementary-School/v38v-5m63,,10/22/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,990,0
Sunset Elementary School Update Results,mc6c-jp2w,file,https://data.wa.gov/Health/Sunset-Elementary-School-Update-Results/mc6c-jp2w,,10/22/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,991,0
Contractors by Specialty,7yrf-pays,datalens,https://data.wa.gov/Labor/Contractors-by-Specialty/7yrf-pays,m8qx-ubtq,10/22/2018 12:00:00 AM,m8qx-ubtq,dataset,Washington State Technology Solutions (CTS),"Labor & Industries, Department of (LNI)",Derivative,0,1,992,0
Department of Health Contracts Started or Amended During State Fiscal Year 2018,qhn8-3a9e,dataset,https://data.wa.gov/Procurements-and-Contracts/Department-of-Health-Contracts-Started-or-Amended-/qhn8-3a9e,,10/24/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Foundational,0,1,993,0
Data for Agriculture,fv66-gety,story,https://data.wa.gov/stories/s/fv66-gety,vcpx-q9s7,10/25/2018 12:00:00 AM,vcpx-q9s7,parent asset is private or deleted,Washington State Technology Solutions (CTS),parent asset is private or deleted,Derivative,0,1,994,0
KSD Apprenticeship Utilization,9fej-br89,dataset,https://data.wa.gov/Education/KSD-Apprenticeship-Utilization/9fej-br89,,10/29/2018 12:00:00 AM,,,Kennewick School District,,Foundational,0,1,995,0
Habitat Project Focus Metrics  (12-04-2020),mibg-3zz6,dataset,https://data.wa.gov/Natural-Resources-Environment/Habitat-Project-Focus-Metrics-12-04-2020-/mibg-3zz6,,11/01/2018 12:00:00 AM,,,Recreation and Conservation Office (RCO),,Foundational,0,1,996,0
Agency Contracts Fiscal Year 2018,3f3v-gugf,dataset,https://data.wa.gov/Procurements-and-Contracts/Agency-Contracts-Fiscal-Year-2018/3f3v-gugf,,11/06/2018 12:00:00 AM,,,"Enterprise Services, Department of (DES)",,Foundational,0,1,997,0
McKinley Elementary (aka Mary Lyon Elementary) Update Results,xt3p-zzth,file,https://data.wa.gov/Health/McKinley-Elementary-aka-Mary-Lyon-Elementary-Updat/xt3p-zzth,,11/07/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,998,0
Cascade Elementary Chehalis - Follow Up Results,jhqc-qhzd,file,https://data.wa.gov/Health/Cascade-Elementary-Chehalis-Follow-Up-Results/jhqc-qhzd,,11/07/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,999,0
Graham Elementary Flush,5kxt-svqx,file,https://data.wa.gov/Health/Graham-Elementary-Flush/5kxt-svqx,,11/07/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,1000,0
Madison Head Start Update Results,ba9q-ai9q,file,https://data.wa.gov/Health/Madison-Head-Start-Update-Results/ba9q-ai9q,,11/07/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,1001,0
Rocky Ridge Flush,c4uv-sdt5,file,https://data.wa.gov/Health/Rocky-Ridge-Flush/c4uv-sdt5,,11/07/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,1002,0
Cascade Elementary Marysville,qhv7-gmd2,file,https://data.wa.gov/Health/Cascade-Elementary-Marysville/qhv7-gmd2,,11/07/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,1003,0
Rainier Elementary Results - Update,axcb-n2ht,file,https://data.wa.gov/Health/Rainier-Elementary-Results-Update/axcb-n2ht,,11/07/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,1004,0
Shoultes Elementary,ud2h-8fd3,file,https://data.wa.gov/Health/Shoultes-Elementary/ud2h-8fd3,,11/07/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,1005,0
Swinomish Day Care,8inw-93tp,file,https://data.wa.gov/Health/Swinomish-Day-Care/8inw-93tp,,11/07/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,1006,0
Kitsap Lake Elementary - Update,rwxh-pdmu,file,https://data.wa.gov/Health/Kitsap-Lake-Elementary-Update/rwxh-pdmu,,11/07/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,1007,0
Swinomish Early Learning Center,7w73-mtdf,file,https://data.wa.gov/Health/Swinomish-Early-Learning-Center/7w73-mtdf,,11/07/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,1008,0
Rock Island Elementary,bq5d-75jf,file,https://data.wa.gov/Health/Rock-Island-Elementary/bq5d-75jf,,11/07/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,1009,0
Grantham Elementary School,xrt9-f5py,file,https://data.wa.gov/Health/Grantham-Elementary-School/xrt9-f5py,,11/07/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,1010,0
Pacific Beach Elementary,eimg-axdy,file,https://data.wa.gov/Health/Pacific-Beach-Elementary/eimg-axdy,,11/07/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,1011,0
Chauncey Davis Elementary,7uqc-u88f,file,https://data.wa.gov/Health/Chauncey-Davis-Elementary/7uqc-u88f,,11/07/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,1012,0
Harry S. Truman Elementary Update,sd54-zfs9,file,https://data.wa.gov/Health/Harry-S-Truman-Elementary-Update/sd54-zfs9,,11/08/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,1013,0
Elma Elementary School Update,gyaj-5282,file,https://data.wa.gov/Health/Elma-Elementary-School-Update/gyaj-5282,,11/08/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,1014,0
Project_Type,dms8-ias7,dataset,https://data.wa.gov/Natural-Resources-Environment/Project_Type/dms8-ias7,,11/12/2018 12:00:00 AM,,,Recreation and Conservation Office (RCO),,Foundational,0,1,1015,0
Stevens County Property and Parcels,gsbj-bwqj,href,https://data.wa.gov/Economics/Stevens-County-Property-and-Parcels/gsbj-bwqj,,11/14/2018 12:00:00 AM,,,Washington State Technology Solutions (CTS),,External,0,1,1016,0
Washington Health Workforce Survey Data,cvrw-ujje,dataset,https://data.wa.gov/Health/Washington-Health-Workforce-Survey-Data/cvrw-ujje,,11/15/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Foundational,0,1,1017,0
The Case for Open Data,agzj-c944,story,https://data.wa.gov/stories/s/agzj-c944,yeed-tnk5,11/16/2018 12:00:00 AM,syjk-ymxm,filter,Washington State Technology Solutions (CTS),"Health, Department of (DOH)",Derivative,0,1,1018,0
The Case for Open Data,agzj-c944,story,https://data.wa.gov/stories/s/agzj-c944,syjk-ymxm,11/16/2018 12:00:00 AM,yeed-tnk5,parent asset is private or deleted,Washington State Technology Solutions (CTS),parent asset is private or deleted,Derivative,0,1,1019,0
Hatchery Locations,izse-xpxv,dataset,https://data.wa.gov/Natural-Resources-Environment/Hatchery-Locations/izse-xpxv,,11/16/2018 12:00:00 AM,,,Recreation and Conservation Office (RCO),,Foundational,0,1,1020,0
The Case for Open Data,agzj-c944,story,https://data.wa.gov/stories/s/agzj-c944,syjk-ymxm,11/16/2018 12:00:00 AM,syjk-ymxm,filter,Washington State Technology Solutions (CTS),"Health, Department of (DOH)",Derivative,0,1,1021,0
The Case for Open Data,agzj-c944,story,https://data.wa.gov/stories/s/agzj-c944,yeed-tnk5,11/16/2018 12:00:00 AM,yeed-tnk5,parent asset is private or deleted,Washington State Technology Solutions (CTS),parent asset is private or deleted,Derivative,0,1,1022,0
Westwood Middle School,gvwz-msv7,file,https://data.wa.gov/Health/Westwood-Middle-School/gvwz-msv7,,11/19/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,1023,0
ESA Compliance Harvest (WDFW),m7ih-hj3u,dataset,https://data.wa.gov/dataset/ESA-Compliance-Harvest-WDFW-/m7ih-hj3u,,11/19/2018 12:00:00 AM,,,"Salmon Recovery Office, Governor's (GSRO)",,Foundational,0,1,1024,0
Centennial Elementary Flush Re Sample,akrc-g6te,file,https://data.wa.gov/Health/Centennial-Elementary-Flush-Re-Sample/akrc-g6te,,11/19/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,1025,0
Pioneer Valley Elementary Spanaway Re-sample Flush,kad9-miyv,file,https://data.wa.gov/Health/Pioneer-Valley-Elementary-Spanaway-Re-sample-Flush/kad9-miyv,,11/19/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,1026,0
Clovis Point Intermediate School Update,rjn3-nr4c,file,https://data.wa.gov/Health/Clovis-Point-Intermediate-School-Update/rjn3-nr4c,,11/19/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,1027,0
Mission View Elementary Update,6msp-em9n,file,https://data.wa.gov/Health/Mission-View-Elementary-Update/6msp-em9n,,11/19/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,1028,0
ESA Compliance Harvest (WDFW),7gka-kazz,dataset,https://data.wa.gov/dataset/ESA-Compliance-Harvest-WDFW-/7gka-kazz,,11/20/2018 12:00:00 AM,,,"Salmon Recovery Office, Governor's (GSRO)",,Foundational,0,1,1029,0
Broadband in Washington,irv9-b275,story,https://data.wa.gov/stories/s/irv9-b275,isxq-iqdy,11/27/2018 12:00:00 AM,ei6b-djpx,map,Washington State Technology Solutions (CTS),Washington State Technology Solutions (CTS),Derivative,0,1,1030,0
Broadband in Washington,irv9-b275,story,https://data.wa.gov/stories/s/irv9-b275,uyg8-hybx,11/27/2018 12:00:00 AM,uyg8-hybx,parent asset is private or deleted,Washington State Technology Solutions (CTS),parent asset is private or deleted,Derivative,0,1,1031,0
Broadband in Washington,irv9-b275,story,https://data.wa.gov/stories/s/irv9-b275,uyg8-hybx,11/27/2018 12:00:00 AM,isxq-iqdy,chart,Washington State Technology Solutions (CTS),Washington State Technology Solutions (CTS),Derivative,0,1,1032,0
Broadband in Washington,irv9-b275,story,https://data.wa.gov/stories/s/irv9-b275,ei6b-djpx,11/27/2018 12:00:00 AM,uyg8-hybx,parent asset is private or deleted,Washington State Technology Solutions (CTS),parent asset is private or deleted,Derivative,0,1,1033,0
Broadband in Washington,irv9-b275,story,https://data.wa.gov/stories/s/irv9-b275,ei6b-djpx,11/27/2018 12:00:00 AM,ei6b-djpx,map,Washington State Technology Solutions (CTS),Washington State Technology Solutions (CTS),Derivative,0,1,1034,0
Broadband in Washington,irv9-b275,story,https://data.wa.gov/stories/s/irv9-b275,isxq-iqdy,11/27/2018 12:00:00 AM,isxq-iqdy,chart,Washington State Technology Solutions (CTS),Washington State Technology Solutions (CTS),Derivative,0,1,1035,0
Broadband in Washington,irv9-b275,story,https://data.wa.gov/stories/s/irv9-b275,isxq-iqdy,11/27/2018 12:00:00 AM,uyg8-hybx,parent asset is private or deleted,Washington State Technology Solutions (CTS),parent asset is private or deleted,Derivative,0,1,1036,0
Broadband in Washington,irv9-b275,story,https://data.wa.gov/stories/s/irv9-b275,uyg8-hybx,11/27/2018 12:00:00 AM,ei6b-djpx,map,Washington State Technology Solutions (CTS),Washington State Technology Solutions (CTS),Derivative,0,1,1037,0
Broadband in Washington,irv9-b275,story,https://data.wa.gov/stories/s/irv9-b275,ei6b-djpx,11/27/2018 12:00:00 AM,isxq-iqdy,chart,Washington State Technology Solutions (CTS),Washington State Technology Solutions (CTS),Derivative,0,1,1038,0
Aberdeen Flood Depths 11-27-18,7yy6-89nx,dataset,https://data.wa.gov/Natural-Resources-Environment/Aberdeen-Flood-Depths-11-27-18/7yy6-89nx,,11/29/2018 12:00:00 AM,,,"Ecology, Department of (ECY)",,Foundational,0,1,1039,0
Hoquiam Flood Depths 11-29-18,vhe5-ishr,dataset,https://data.wa.gov/Natural-Resources-Environment/Hoquiam-Flood-Depths-11-29-18/vhe5-ishr,,11/30/2018 12:00:00 AM,,,"Ecology, Department of (ECY)",,Foundational,0,1,1040,0
Grant Elementary School Wenatchee,8ynb-aii9,file,https://data.wa.gov/Health/Grant-Elementary-School-Wenatchee/8ynb-aii9,,11/30/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,1041,0
Sterling Intermediate School Updated,tbx2-cyr9,file,https://data.wa.gov/Health/Sterling-Intermediate-School-Updated/tbx2-cyr9,,11/30/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,1042,0
High School Graduate Outcomes - Earnings by Industry,6he9-ya4y,dataset,https://data.wa.gov/Employment/High-School-Graduate-Outcomes-Earnings-by-Industry/6he9-ya4y,,12/06/2018 12:00:00 AM,,,"Financial Management, Office of (OFM)",,Foundational,0,1,1043,0
Mary M. Knight School,xmgj-cd2d,file,https://data.wa.gov/Health/Mary-M-Knight-School/xmgj-cd2d,,12/07/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,1044,0
Franklin Elementary School Update,kufn-smj9,file,https://data.wa.gov/Health/Franklin-Elementary-School-Update/kufn-smj9,,12/07/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,1045,0
Wa He Lut Indian School Lead Test Results Update 1,5bwd-tiir,file,https://data.wa.gov/Health/Wa-He-Lut-Indian-School-Lead-Test-Results-Update-1/5bwd-tiir,,12/07/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,1046,0
Mossy Rock High School Update,hp97-ssnp,file,https://data.wa.gov/Health/Mossy-Rock-High-School-Update/hp97-ssnp,,12/07/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,1047,0
Jefferson Elementary School,vrbf-jw67,file,https://data.wa.gov/Health/Jefferson-Elementary-School/vrbf-jw67,,12/07/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,1048,0
Fawcett Elementary.,3bxf-chrn,file,https://data.wa.gov/Health/Fawcett-Elementary-/3bxf-chrn,,12/07/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,1049,0
Sultan Elementary,r5ce-vyij,file,https://data.wa.gov/Health/Sultan-Elementary/r5ce-vyij,,12/07/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,1050,0
Mountain View Elementary School Lead Test Results Lacey Update,va97-kmga,file,https://data.wa.gov/Health/Mountain-View-Elementary-School-Lead-Test-Results-/va97-kmga,,12/07/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,1051,0
Mountain Meadow Elementary.,auqf-fapm,file,https://data.wa.gov/Health/Mountain-Meadow-Elementary-/auqf-fapm,,12/07/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,1052,0
Nautilus Elementary,ws52-89wj,file,https://data.wa.gov/Health/Nautilus-Elementary/ws52-89wj,,12/07/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,1053,0
Sunnyside Elementary School Pullman,8xu6-vcjv,file,https://data.wa.gov/Health/Sunnyside-Elementary-School-Pullman/8xu6-vcjv,,12/07/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,1054,0
South Campus (formerly South Whidbey Academy) Update,dxj3-dhg3,file,https://data.wa.gov/Health/South-Campus-formerly-South-Whidbey-Academy-Update/dxj3-dhg3,,12/07/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,1055,0
Olympic View Elementary Lacey Update,ji68-79i6,file,https://data.wa.gov/Health/Olympic-View-Elementary-Lacey-Update/ji68-79i6,,12/07/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,1056,0
Cheney High School,be8t-yyf3,file,https://data.wa.gov/Health/Cheney-High-School/be8t-yyf3,,12/07/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,1057,0
Terminal Park Elementary Update 1,r3u2-p8p4,file,https://data.wa.gov/Health/Terminal-Park-Elementary-Update-1/r3u2-p8p4,,12/07/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,1058,0
Sunnyside Elementary School Marysville Update,8mvd-27dh,file,https://data.wa.gov/Health/Sunnyside-Elementary-School-Marysville-Update/8mvd-27dh,,12/07/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,1059,0
Conway School Update,yspp-ba97,file,https://data.wa.gov/Health/Conway-School-Update/yspp-ba97,,12/07/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,1060,0
Brigadoon Elementary Update,u5be-ss28,file,https://data.wa.gov/Health/Brigadoon-Elementary-Update/u5be-ss28,,12/07/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,1061,0
Kenroy Elementary School Update,hzpe-bfaw,file,https://data.wa.gov/Health/Kenroy-Elementary-School-Update/hzpe-bfaw,,12/07/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,1062,0
Dick Scobee Elementary Update,nkza-e9rk,file,https://data.wa.gov/Health/Dick-Scobee-Elementary-Update/nkza-e9rk,,12/07/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,1063,0
La Venture Middle School Update 1,rmzg-svw3,file,https://data.wa.gov/Health/La-Venture-Middle-School-Update-1/rmzg-svw3,,12/07/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,1064,0
Gildo Rey Elementary Lead Test Results Update,96md-aty8,file,https://data.wa.gov/Health/Gildo-Rey-Elementary-Lead-Test-Results-Update/96md-aty8,,12/07/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,1065,0
Mossyrock Elementary School LEAD TEST Update1,yjcd-6a6b,file,https://data.wa.gov/Health/Mossyrock-Elementary-School-LEAD-TEST-Update1/yjcd-6a6b,,12/07/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,1066,0
Lakewood Middle School,wcek-zrzx,file,https://data.wa.gov/Health/Lakewood-Middle-School/wcek-zrzx,,12/07/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,1067,0
Privacy Office Outreach Map,pq8j-eip9,map,https://data.wa.gov/Consumer-Protection/Privacy-Office-Outreach-Map/pq8j-eip9,4j29-snvr,12/13/2018 12:00:00 AM,4j29-snvr,dataset,Washington State Technology Solutions (CTS),Washington State Technology Solutions (CTS),Derivative,0,1,1068,0
Office of Privacy and Data Protection - Activities,4j29-snvr,dataset,https://data.wa.gov/Consumer-Protection/Office-of-Privacy-and-Data-Protection-Activities/4j29-snvr,,12/13/2018 12:00:00 AM,,,Washington State Technology Solutions (CTS),,Foundational,1,1,1069,0
WA GHG Reporting Multi-Year Dataset,jbe2-ek4r,dataset,https://data.wa.gov/Natural-Resources-Environment/WA-GHG-Reporting-Multi-Year-Dataset/jbe2-ek4r,,12/13/2018 12:00:00 AM,,,"Ecology, Department of (ECY)",,Foundational,0,1,1070,0
2017 Greenhouse Gas Report Facility Data,533j-4nbp,dataset,https://data.wa.gov/Natural-Resources-Environment/2017-Greenhouse-Gas-Report-Facility-Data/533j-4nbp,,12/13/2018 12:00:00 AM,,,"Ecology, Department of (ECY)",,Foundational,1,1,1071,0
Office of Privacy and Data Protection - Activities by Month,js2h-mget,chart,https://data.wa.gov/Consumer-Protection/Office-of-Privacy-and-Data-Protection-Activities-b/js2h-mget,4j29-snvr,12/13/2018 12:00:00 AM,4j29-snvr,dataset,Washington State Technology Solutions (CTS),Washington State Technology Solutions (CTS),Derivative,0,1,1072,0
ReConnect Broadband,52rt-f8sb,story,https://data.wa.gov/stories/s/52rt-f8sb,,12/14/2018 12:00:00 AM,,,Washington State Technology Solutions (CTS),,Derivative,0,1,1073,0
2017 WA GHG Reporting Map,rkfz-gdvx,map,https://data.wa.gov/Natural-Resources-Environment/2017-WA-GHG-Reporting-Map/rkfz-gdvx,533j-4nbp,12/18/2018 12:00:00 AM,533j-4nbp,dataset,"Ecology, Department of (ECY)","Ecology, Department of (ECY)",Derivative,0,1,1074,0
Privacy for Risk Managers,ddbi-4iat,story,https://data.wa.gov/stories/s/ddbi-4iat,,12/19/2018 12:00:00 AM,,,Washington State Technology Solutions (CTS),,Derivative,0,1,1075,0
Oakesdale Elementary And High School,bcmk-227s,file,https://data.wa.gov/Health/Oakesdale-Elementary-And-High-School/bcmk-227s,,12/31/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,1076,0
Clover Creek Elementary,brkr-cvcj,file,https://data.wa.gov/Health/Clover-Creek-Elementary/brkr-cvcj,,12/31/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,1077,0
Northlake Elementary Update,gvx2-5nuw,file,https://data.wa.gov/Health/Northlake-Elementary-Update/gvx2-5nuw,,12/31/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,1078,0
Ocean Shores Elementary Update,mwnz-h2r3,file,https://data.wa.gov/Health/Ocean-Shores-Elementary-Update/mwnz-h2r3,,12/31/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,1079,0
Lakes Elementary,7h7g-7p7x,file,https://data.wa.gov/Health/Lakes-Elementary/7h7g-7p7x,,12/31/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,1080,0
Wilkeson Elementary (ESC) Follow Up,gue6-r6cr,file,https://data.wa.gov/Health/Wilkeson-Elementary-ESC-Follow-Up/gue6-r6cr,,12/31/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,1081,0
Lee Elementary School,pueu-z8d8,file,https://data.wa.gov/Health/Lee-Elementary-School/pueu-z8d8,,12/31/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,1082,0
Foster High School,fnd5-jbg4,file,https://data.wa.gov/Health/Foster-High-School/fnd5-jbg4,,12/31/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,1083,0
Paterson Elementary School,q795-aq5k,file,https://data.wa.gov/Health/Paterson-Elementary-School/q795-aq5k,,12/31/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,1084,0
Eastmont Junior High Update,yj9m-kxyg,file,https://data.wa.gov/Health/Eastmont-Junior-High-Update/yj9m-kxyg,,12/31/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,1085,0
Liberty Elementary School Update,bhfh-qxr9,file,https://data.wa.gov/Health/Liberty-Elementary-School-Update/bhfh-qxr9,,12/31/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,1086,0
Home Works,5pty-2dfv,file,https://data.wa.gov/Health/Home-Works/5pty-2dfv,,12/31/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,1087,0
Horizons Elementary School,jjbp-c4sc,file,https://data.wa.gov/Health/Horizons-Elementary-School/jjbp-c4sc,,12/31/2018 12:00:00 AM,,,"Health, Department of (DOH)",,Derivative,0,1,1088,0
